DBA,ADDRESS,LON,LAT,BORO,ZIPCODE,CUISINE DESCRIPTION,VIOLATION POINTS,GRADE,GRADE DATE
NEW KIM WEI KITCHEN,"4201 8 Avenue, Brooklyn New York 11232",-73.9989458,40.6453849,BROOKLYN,11232,Chinese,0,Z,8/14/2015
OLIVE'S,"120 Prince Street, Manhattan New York 10012",-73.9998042,40.7251256,MANHATTAN,10012,Sandwiches/Salads/Mixed Buffet,5,A,8/14/2015
SUBWAY,"153 Essex St, Manhattan New York 10002",-73.987291,40.720863,MANHATTAN,10002,American ,5,A,8/14/2015
HIBACHI ON THE RUN,"1143 Clarkson Ave, Brooklyn New York 11212",-73.920672,40.661157,BROOKLYN,11212,Asian,41,Z,8/14/2015
TITO RADS GRILL,"4910 Queens Blvd, Queens New York 11377",-73.9163055,40.7427176,QUEENS,11377,Filipino,7,A,8/13/2015
Marabellas Pizzeria,"4107 Greenpoint Ave, Queens New York 11104",-73.9238457,40.7402753,QUEENS,11104,Pizza/Italian,22,Z,8/13/2015
LITTLE CAESARS,"1054 Southern Boulevard, Bronx New York 10459",-73.891444,40.8245,BRONX,10459,Pizza,12,A,8/13/2015
Popeyes,"1128 Myrtle Avenue, Brooklyn New York 11206",-73.9353207,40.6967637,BROOKLYN,11206,Chicken,10,A,8/13/2015
GINA'S PIZZERIA/ DELI,"3905 5 Avenue, Brooklyn New York 11232",-74.0039304,40.65098,BROOKLYN,11232,Italian,9,A,8/13/2015
DI FARA PIZZERIA,"1424 Avenue J, Brooklyn New York 11230",-73.9614492,40.6249701,BROOKLYN,11230,Pizza,9,A,8/13/2015
LITTLE ITALY PIZZA,"217 East 86 Street, Manhattan New York 10028",-73.9528459,40.77867,MANHATTAN,10028,Pizza,4,A,8/13/2015
LUNATICS ICE CREAM PARLOR,"1224 Surf Ave, Brooklyn New York 11224",-73.980402,40.57531,BROOKLYN,11224,"Ice Cream, Gelato, Yogurt, Ices",42,Z,8/12/2015
EL GRAN CANARIO II RESTAURANT,"11117 Jamaica Avenue, Queens New York 11418",-73.8369421,40.6973057,QUEENS,11418,Spanish,22,Z,8/12/2015
ISLA RESTAURAUNT,"510 Willis Avenue, Bronx New York 10455",-73.9181633,40.8151851,BRONX,10455,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A,8/12/2015
ONE STOP EXPRESS,"8621 4 Avenue, Brooklyn New York 11209",-74.028302,40.622006,BROOKLYN,11209,Chinese,4,A,8/11/2015
GYRO EXPRESS,"3160 Coney Island Avenue, Brooklyn New York 11235",-73.960044,40.578985,BROOKLYN,11235,Middle Eastern,9,A,8/11/2015
LAS PERLAS SALVADORENO RESTAURANTE,"16008 46 Avenue, Queens New York 11358",-73.8064303,40.7536924,QUEENS,11358,Spanish,40,Z,8/11/2015
EL MOLINO ROJO RESTAURANT,"101 East 161 Street, Bronx New York 10451",-73.9243061,40.8276297,BRONX,10451,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",24,Z,8/11/2015
HONG KONG CAFE CHINESE RESTAURANT,"357 Franklin Avenue, Brooklyn New York 11238",-73.9567659,40.6872112,BROOKLYN,11238,Chinese,21,Z,8/11/2015
HOTEL BPM BROOKLYN,"139 33Rd St, Brooklyn New York 11232",-74.0033054,40.6565973,BROOKLYN,11232,American ,13,A,8/11/2015
ROSSINI'S,"108 East 38 Street, Manhattan New York 10016",-73.9788758,40.7491708,MANHATTAN,10016,Italian,8,A,8/10/2015
FARFASHA,"162 2 Avenue, Manhattan New York 10003",-73.9864269,40.7298622,MANHATTAN,10003,Mediterranean,20,Z,8/10/2015
EL VEZ,"259 Vesey St, Manhattan New York 10282",-74.0154223,40.7148114,MANHATTAN,10282,Mexican,6,A,8/10/2015
HOT & CRUSTY BAKERY,"84 East 42 Street, Manhattan New York 10017",-73.977332,40.7519644,MANHATTAN,10017,Bagels/Pretzels,17,Z,8/10/2015
NSE FIFTY SIX,"109 East 56Th Street, Manhattan New York 10022",-73.9702879,40.7609458,MANHATTAN,10022,American ,4,A,8/10/2015
KFC,"6502 18Th Ave, Missing New York 11204",-73.9859414,40.6195067,BROOKLYN,11204,American ,12,A,8/10/2015
THE CORNELL CENTER OF NEW YORK,"6 East 44 Street, Manhattan New York 10017",-73.97937,40.754292,MANHATTAN,10017,American ,7,A,8/10/2015
PIZZA HUT# 28256,"2013 Westchester Avenue, Bronx New York 10462",-73.857144,40.833813,BRONX,10462,Pizza,7,A,8/10/2015
NEW WIN HING INC,"1180 Bay St, Staten Island New York 10305",-74.0665963,40.6143679,STATEN ISLAND,10305,Chinese,12,A,8/10/2015
DELISH BY AMERIVENTS,"4701 111 Street, Queens New York 11368",-73.8514302,40.7471762,QUEENS,11368,American ,20,Z,8/8/2015
RINCON SALVADORENO RESTAURANT,"9215 149 Street, Queens New York 11435",-73.8052691,40.701757,QUEENS,11435,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19,Z,8/6/2015
THE RITZ CARLTON NEW YORK BATTERY PARK,"2 West Street, Manhattan New York 10004",-74.0173098,40.7054986,MANHATTAN,10004,American ,3,A,8/6/2015
THE AVE LUNCH BOX,"587 Wilson Avenue, Brooklyn New York 11207",-73.9080687,40.6906796,BROOKLYN,11207,Spanish,10,A,8/6/2015
SARABETH'S,"381 Park Avenue South, Manhattan New York 10016",-73.9843697,40.7424126,MANHATTAN,10016,American ,7,A,8/6/2015
EL TORO TAQUERIA,"89 Fort Greene Place, Brooklyn New York 11217",-73.9764334,40.6873854,BROOKLYN,11217,Mexican,27,Z,8/5/2015
V & S PIZZERIA OF SHEAPSHEAD BAY,"1723 Emmons Avenue, Brooklyn New York 11235",-73.9510102,40.5836641,BROOKLYN,11235,Pizza/Italian,13,A,8/5/2015
FUJIYAMA JAPANESE FUSION,"7307 13Th Ave, Brooklyn New York 11228",-74.0062892,40.6211281,BROOKLYN,11228,Japanese,26,Z,8/5/2015
UPRIGHT,"547 Hudson Street, Manhattan New York 10014",-74.006409,40.734927,MANHATTAN,10014,American ,10,A,8/5/2015
TROPICAL GRILL,"153-41 Rockaway Boulevard, Queens New York 11434",-73.782188,40.669525,QUEENS,11434,African,9,A,8/5/2015
NEW DINETTE,"187 Port Richmond Ave, Staten Island New York 10302",-74.1339799,40.636612,STATEN ISLAND,10302,American ,9,A,8/4/2015
COPPER KETTLE,"5024 Skillman Avenue, Queens New York 11377",-73.9135648,40.7458604,QUEENS,11377,American ,7,A,8/4/2015
NEW CHINA RESTAURANT,"6218 11 Avenue, Brooklyn New York 11219",-74.0047189,40.6301082,BROOKLYN,11219,Chinese,10,A,8/4/2015
IRVING FARM COFFEE ROASTERS,"88 Orchard Street, Manhattan New York 10002",-73.9900914,40.7179748,MANHATTAN,10002,American ,11,A,8/3/2015
LOLITA'S RESTAURANT,"356 East 148 Street, Bronx New York 10455",-73.9196733,40.8157134,BRONX,10455,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10,A,8/3/2015
BELLA DONNA PIZZZA,"6091 54Th St, Queens New York 11378",-73.910644,40.7134659,QUEENS,11378,Pizza,9,A,8/3/2015
JOE: THE ART OF COFFEE,"405 West 23 Street, Manhattan New York 10011",-74.0015324,40.7468114,MANHATTAN,10011,Café/Coffee/Tea,7,A,7/31/2015
SERENDIPITY 3,"225 East 60 Street, Manhattan New York 10022",-73.964904,40.7618538,MANHATTAN,10022,American ,13,A,7/30/2015
GE FINANCIAL CAFE,"299 Park Avenue, Manhattan New York 10171",-73.9743641,40.7560493,MANHATTAN,10171,American ,2,A,7/30/2015
THE LIVE OAK,"59-93 Fresh Pond Road, Queens New York 11378",-73.9021331,40.7181474,QUEENS,11378,American ,9,A,7/30/2015
JOSIE'S RESTAURANT,"300 Amsterdam Avenue, Manhattan New York 10023",-73.9809789,40.7802374,MANHATTAN,10023,American ,12,A,7/30/2015
LENOX HILL GRILL/PIZZA,"1105 Lexington Avenue, Manhattan New York 10075",-73.959504,40.773716,MANHATTAN,10075,American ,11,A,7/30/2015
AGAVE DELI GROCERY,"252 Kings Highway, Brooklyn New York 11223",-73.9813834,40.6051237,BROOKLYN,11223,Mexican,9,A,7/29/2015
INTERNATIONAL FLAVORS  & FRAGRANCES,"521 West 57 Street, Manhattan New York 10019",-73.9894483,40.7697436,MANHATTAN,10019,American ,2,A,7/29/2015
MOM'S FRIED CHICKEN,"253 East 167 Street, Bronx New York 10456",-73.9146031,40.8337327,BRONX,10456,Chicken,12,A,7/29/2015
PALM COURT,"768 Fifth Ave, Manhattan New York 10019",-73.9743547,40.7646095,MANHATTAN,10019,American ,11,A,7/29/2015
ISLAND VYBZ JAMAICAN RESTAURANT,"1759 Broadway, Brooklyn New York 11207",-73.9101826,40.6828646,BROOKLYN,11207,Caribbean,10,A,7/29/2015
LA NORTENA EXPRESS RESTAURANT,"9717 37 Avenue, Queens New York 11368",-73.8693247,40.7521988,QUEENS,11368,Mexican,26,Z,7/29/2015
